Rnd.	Race	Length	Classes	Circuit	Location	Date
1	Rolex 24 at Daytona	24 hours	All	Daytona International Speedway	Daytona Beach, Florida	January 28–29
2	Mobil 1 Twelve Hours of Sebring	12 hours	All	Sebring International Raceway	Sebring, Florida	March 18
3	BUBBA Burger Sports Car Grand Prix at Long Beach	1 hour 40 minutes	P, GTLM, GTD	Long Beach Street Circuit	Long Beach, California	April 8
4	Advance Auto Parts Sportscar Showdown	2 hours 40 minutes	All	Circuit of the Americas	Austin, Texas	May 6
5	Chevrolet Sports Car Classic	1 hour 40 minutes	P, PC, GTD	The Raceway on Belle Isle	Detroit, Michigan	June 3
6	Sahlen's Six Hours of The Glen	6 hours	All	Watkins Glen International	Watkins Glen, New York	July 2
7	Mobil 1 SportsCar Grand Prix	2 hours 40 minutes	All	Canadian Tire Motorsport Park	Bowmanville, Ontario	July 9
8	Northeast Grand Prix	2 hours 40 minutes	GTLM, GTD	Lime Rock Park	Lakeville, Connecticut	July 22
9	Continental Tire Road Race Showcase	2 hours 40 minutes	All	Road America	Elkhart Lake, Wisconsin	August 6
10	Michelin GT Challenge at VIR	2 hours 40 minutes	GTLM, GTD	Virginia International Raceway	Alton, Virginia	August 27
11	America's Tire 250	2 hours 40 minutes	P, GTLM, GTD	Mazda Raceway Laguna Seca	Monterey, California	September 24
12	Motul Petit Le Mans	10 hours	All	Road Atlanta	Braselton, Georgia	October 7
